ID,ID_IAU,PARENT,PARENT_IAU,EPOCH,A_SEMI_MAJOR_AXIS_KM,EC_ECCENTRICITY,W_ARG_PERIAPSIS_DEG,MA_MEAN_ANOMALY_DEG,IN_INCLINATION_DEG,OM_LONGITUDE_ASCENDING_NODE_DEG,PR_SIDEREAL_ORBIT_PERIOD_SEC,AXIAL_TILT_DEG,MEAN_RADIUS_KM,GM_KM3/S2,PERIOD_SEC,RETROGRADE_ROT,MODEL_TYPE,GROUP,BODY_TYPE
S2018_J_3,55511,Jupiter,599,2451545,23803991.3,0.3225,174.07,278.98,165.84,134.21,64831985,0,0.5,0.00000003470636,86400,FALSE,TerrestrialBody,Carme,MinorBody
S2021_J_1,55512,Jupiter,599,2451545,21010816.4,0.1120,25.01,129.02,149.48,246.61,53762448,0,0.5,0.00000003470636,86400,FALSE,TerrestrialBody,Ananke,MinorBody
S2021_J_2,55513,Jupiter,599,2451545,20457967.7,0.1586,29.44,110.76,143.64,274.05,51654526,0,0.5,0.00000003470636,86400,FALSE,TerrestrialBody,Ananke,MinorBody
S2021_J_3,55514,Jupiter,599,2451545,20290063.8,0.2681,217.40,167.85,148.23,142.53,51019919,0,1,0.0000002803206,86400,FALSE,TerrestrialBody,Ananke,MinorBody
S2021_J_4,55515,Jupiter,599,2451545,22210147.0,0.2662,135.94,218.92,166.82,127.21,58430795,0,0.5,0.00000003470636,86400,FALSE,TerrestrialBody,Carme,MinorBody
S2021_J_5,55516,Jupiter,599,2451545,24403866.0,0.1751,272.66,236.58,168.57,155.52,67298067,0,1,0.0000002803206,86400,FALSE,TerrestrialBody,Carme,MinorBody
S2021_J_6,55517,Jupiter,599,2451545,22270753.1,0.3690,137.86,208.48,165.34,81.00,58670123,0,0.5,0.00000003470636,86400,FALSE,TerrestrialBody,Carme,MinorBody
S2016_J_3,55518,Jupiter,599,2451545,23668094.9,0.3157,87.00,59.01,165.74,31.05,64277592,0,1,0.0000002803206,86400,FALSE,TerrestrialBody,Carme,MinorBody
S2016_J_4,55519,Jupiter,599,2451545,22144067.9,0.4804,252.64,217.56,151.29,207.82,58170226,0,0.5,0.00000003470636,86400,FALSE,TerrestrialBody,Pasiphae,MinorBody
S2018_J_4,55520,Jupiter,599,2451545,16037400.5,0.1173,282.41,138.15,52.94,55.50,35852183,0,1,0.0000002803206,86400,FALSE,TerrestrialBody,Carpo,MinorBody
S2022_J_1,55521,Jupiter,599,2451545,23086327.9,0.2633,235.58,42.02,161.05,315.65,61922279,0,0.5,0.00000003470636,86400,FALSE,TerrestrialBody,Carme,MinorBody
S2022_J_2,55522,Jupiter,599,2451545,22179364.6,0.1788,348.97,98.85,165.01,41.68,58309363,0,0.5,0.00000003470636,86400,FALSE,TerrestrialBody,Carme,MinorBody
S2022_J_3,55523,Jupiter,599,2451545,20734334.6,0.1008,355.47,271.89,147.73,238.24,52704755,0,0.5,0.00000003470636,86400,FALSE,TerrestrialBody,Ananke,MinorBody
S2017_J_10,55525,Jupiter,599,2451545,20883969.6,0.1129,195.82,157.66,138.55,331.73,53276321,0,0.5,0.00000003470636,86400,FALSE,TerrestrialBody,Ananke,MinorBody
S2017_J_11,55526,Jupiter,599,2451545,23424264.7,0.3009,21.67,236.90,167.02,132.97,63286867,0,0.5,0.00000003470636,86400,FALSE,TerrestrialBody,Carme,MinorBody
Mimas,601,Saturn,699,2451545,186036.8,0.0218,337.94,37.40,1.57,173.00,81862,0,198.8,2.50349,0,FALSE,TerrestrialBody,Major Saturn,PlanetaryBody
Enceladus,602,Saturn,699,2451545,238419.9,0.0064,226.35,6.95,0.01,309.08,118767,0,252.3,7.210367,0,FALSE,TerrestrialBody,Major Saturn,PlanetaryBody
Tethys,603,Saturn,699,2451545,294980.3,0.0010,296.90,350.38,1.09,259.77,163445,0,531.1,41.21353,0,FALSE,TerrestrialBody,Major Saturn,PlanetaryBody
Dione,604,Saturn,699,2451545,377652.2,0.0029,276.71,332.06,0.03,288.14,236766,0,561.4,73.11607,0,FALSE,TerrestrialBody,Major Saturn,PlanetaryBody
Rhea,605,Saturn,699,2451545,527225.3,0.0008,219.10,206.90,0.32,346.17,390549,0,763.5,153.941175,0,FALSE,TerrestrialBody,Major Saturn,PlanetaryBody
Titan,606,Saturn,699,2451545,1221934.9,0.0286,322.28,163.44,0.36,241.84,1377851,0.6,2574.76,8978.1371,0,FALSE,AtmosphericBody,Major Saturn,PlanetaryBody
Hyperion,607,Saturn,699,2451545,1485060.8,0.1267,334.23,70.60,1.02,253.34,1846281,0.1,135,0.37049,1123200,FALSE,TerrestrialBody,Irregular Saturn,PlanetaryBody
Iapetus,608,Saturn,699,2451545,3562568.1,0.0279,348.36,208.02,15.47,253.52,6860024,14.8,734.3,120.51511,0,FALSE,TerrestrialBody,Major Saturn,PlanetaryBody
Phoebe,609,Saturn,699,2451545,12943748.1,0.1654,272.65,58.65,151.64,54.24,47508533,26.7,106.5,0.55479,33480,TRUE,TerrestrialBody,Norse,PlanetaryBody
Janus,610,Saturn,699,2451545,152034.0,0.0062,49.83,79.74,0.17,154.33,60477,0,89.2,0.12662,0,FALSE,TerrestrialBody,Irregular Saturn,PlanetaryBody
Epimetheus,611,Saturn,699,2451545,152072.9,0.0060,78.03,198.16,0.35,192.83,60501,0,58.2,0.03514,0,FALSE,TerrestrialBody,Irregular Saturn,PlanetaryBody
Helene,612,Saturn,699,2451545,377855.6,0.0080,46.12,19.79,0.21,163.58,236957,0,18,0.00048,0,FALSE,TerrestrialBody,Irregular,PlanetaryBody
Telesto,613,Saturn,699,2451545,294982.2,0.0011,26.52,350.35,1.18,229.24,163446,0,12.6,0.00048,0,FALSE,TerrestrialBody,Irregular,MinorBody
Calypso,614,Saturn,699,2451545,294940.7,0.0006,157.72,16.45,1.50,314.10,163412,0,10.3,0.0003597,0,FALSE,TerrestrialBody,Irregular,MinorBody
Atlas,615,Saturn,699,2451545,138324.4,0.0052,151.18,347.63,0.00,234.20,52484,0,15.1,0.00037,0,FALSE,TerrestrialBody,Irregular,MinorBody
Prometheus,616,Saturn,699,2451545,140026.8,0.0048,121.26,26.82,0.01,307.58,53456,0,43.1,0.01071,0,FALSE,TerrestrialBody,Irregular,PlanetaryBody
Pandora,617,Saturn,699,2451545,142348.3,0.0041,129.88,58.81,0.05,148.70,54791,0,40.6,0.00926,0,FALSE,TerrestrialBody,Irregular,PlanetaryBody
Pan,618,Saturn,699,2451545,134263.6,0.0051,259.23,359.93,0.00,247.42,50190,0,14,0.0002869949,0,FALSE,TerrestrialBody,Irregular,MinorBody
Ymir,619,Saturn,699,2451545,22398169.8,0.3944,16.44,216.61,145.96,47.23,108143480,0,8.5,0.0003737608,42919,FALSE,TerrestrialBody,Norse,MinorBody
Paaliaq,620,Saturn,699,2451545,14919860.2,0.4648,239.21,304.66,75.33,222.75,58793413,0,12.5,0.000934402,67644,FALSE,TerrestrialBody,Inuit,MinorBody
Tarvos,621,Saturn,699,2451545,18574908.0,0.6449,332.63,255.75,36.34,284.65,81671691,0,7.2,0.0001401603,38376,FALSE,TerrestrialBody,Gallic,MinorBody
Ijiraq,622,Saturn,699,2451545,11327139.7,0.3683,88.42,28.41,23.89,6.55,38892148,0,6.5,0.0001201374,46908,FALSE,TerrestrialBody,Inuit,MinorBody
Suttungr,623,Saturn,699,2451545,19596321.0,0.1206,350.41,317.77,150.92,50.88,88500018,0,3.5,0.00001802061,27612,FALSE,TerrestrialBody,Norse,MinorBody
Kiviuq,624,Saturn,699,2451545,11303847.7,0.1582,93.31,168.53,76.79,222.36,38772248,0,8.5,0.0002402748,78552,FALSE,TerrestrialBody,Inuit,MinorBody
Mundilfari,625,Saturn,699,2451545,18723771.2,0.2470,17.00,97.25,150.28,18.38,82655457,0,3.5,0.00001802061,24264,FALSE,TerrestrialBody,Norse,MinorBody
Albiorix,626,Saturn,699,2451545,16398410.3,0.4917,112.80,17.21,31.52,299.34,67746079,0,14.3,0.000800916,47988,FALSE,TerrestrialBody,Gallic,MinorBody
Skathi,627,Saturn,699,2451545,15500127.2,0.2240,148.01,117.18,148.34,107.18,62256462,0,4,0.00002536234,39960,FALSE,TerrestrialBody,Norse,MinorBody
